GP Larg;GP Corto;Pais
 Abu Dhabi F One GP;ABU;Abu Dhabi
 Arabia Saudita F One GP;Oregón;Arabia Saudita
 Australian F One GP;AUS;Australia
 austriaco F One GP;OST;Austria
 Azerbaijan F One GP;Aze;Azerbaijan
 Bahrein F One GP;BAH;Bahrein
 British F One GP;BRI;Reino Unido
 Canadian F One GP;PUEDEN;Canada
 Catar F One GP;QAT;Catar
 Emilia Romaña F One GP;EMI;Italia
 español F One GP;SPA;España
 Estados Unidos F One GP;US;Estados Unidos
 Estiria F One GP;STE;Holanda
 F One GP de Turquía;TUR;Turquía
 F One GP en francés;FRE;Francia
 GP brasileño F One;BRA;Brasil
 GP F One belga;BEL;Belgica
 GP holandés F One;DUT;Holanda
 húngaro F One GP;HUN;Hungria
 Italian F One GP;ITA;Italia
 japonés F One GP;JAP;Japon
 México F One GP;MEX;México
 Monaco F One GP;MON;Monaco
 portugués F One GP;POR;Portugal
 Russian F One GP;RUS;Rusia
 Sakhir F One GP;SAK;Sakhir
 Singapur F One GP;PECADO;Singapur
 Toscana F One GP;TOS;Italia
70 Aniversario F One GP;ANN;Reino Unido
Gran Premio de F de Eifel 1;EIF;Francia
Gran Premio de F de Miami 1;MIA;Estados Unidos
